pH	C:NaCl	C:U	C:BC	T	Time	C/C0
3.5	1.00E-03	1.00E-05	0	25	4	0.05263
3.5	1.00E-03	1.00E-05	0	25	8	0.05263
3.5	1.00E-03	1.00E-05	0	25	12	0.05263
3.5	1.00E-03	1.00E-05	0	25	16	0.05263
3.5	1.00E-03	1.00E-05	0	25	20	0.26316
3.5	1.00E-03	1.00E-05	0	25	24	0.33684
3.5	1.00E-03	1.00E-05	0	25	28	0.45789
3.5	1.00E-03	1.00E-05	0	25	32	0.51053
3.5	1.00E-03	1.00E-05	0	25	36	0.56842
3.5	1.00E-03	1.00E-05	0	25	40	0.61053
3.5	1.00E-03	1.00E-05	0	25	44	0.66316
3.5	1.00E-03	1.00E-05	0	25	48	0.70526
3.5	1.00E-03	1.00E-05	0	25	52	0.7
3.5	1.00E-03	1.00E-05	0	25	56	0.75789
3.5	1.00E-03	1.00E-05	0	25	60	0.68421
3.5	1.00E-03	1.00E-05	0	25	64	0.73684
3.5	1.00E-03	1.00E-05	0	25	68	0.71053
3.5	1.00E-03	1.00E-05	0	25	72	0.73158
3.5	1.00E-03	1.00E-05	0	25	76	0.69474
3.5	1.00E-03	1.00E-05	0	25	80	0.70526
3.5	1.00E-03	1.00E-05	0	25	84	0.7
3.5	1.00E-03	1.00E-05	0	25	88	0.72105
3.5	1.00E-03	1.00E-05	0	25	92	0.76316
3.5	1.00E-03	1.00E-05	0	25	96	0.76316
3.5	1.00E-03	1.00E-05	0	25	100	0.72632
3.5	1.00E-03	1.00E-05	0	25	104	0.73158
3.5	1.00E-03	1.00E-05	0	25	108	0.74737
3.5	1.00E-03	1.00E-05	0	25	112	0.75263
3.5	1.00E-03	1.00E-05	0	25	116	0.75789
3.5	1.00E-03	1.00E-05	0	25	120	0.74737
3.5	1.00E-03	1.00E-05	0	25	124	0.72105
3.5	1.00E-03	1.00E-05	0	25	128	0.78421
3.5	1.00E-03	1.00E-05	0	25	132	0.84737
3.5	1.00E-03	1.00E-05	0	25	136	0.84737
3.5	1.00E-03	1.00E-05	0	25	140	0.81579
3.5	1.00E-03	1.00E-05	0	25	144	0.80526
3.5	1.00E-03	1.00E-05	0	25	148	0.78947
3.5	1.00E-03	1.00E-05	0	25	152	0.83684
3.5	1.00E-03	1.00E-05	0	25	156	0.83158
3.5	1.00E-03	1.00E-05	0	25	160	0.82105
3.5	1.00E-03	1.00E-05	0	25	164	0.83684
3.5	1.00E-03	1.00E-05	0	25	168	0.78421
3.5	1.00E-03	1.00E-05	0	25	172	0.78421
3.5	1.00E-03	1.00E-05	0	25	176	0.81053
3.5	1.00E-03	1.00E-05	0	25	180	0.74737
3.5	1.00E-03	1.00E-05	0	25	184	0.87368
3.5	1.00E-03	1.00E-05	0	25	188	0.76316
3.5	1.00E-03	1.00E-05	0	25	192	0.8
3.5	1.00E-03	1.00E-05	0	25	196	0.78947
3.5	1.00E-03	1.00E-05	0	25	200	0.86842
3.5	1.00E-03	1.00E-05	0	25	204	0.82105
3.5	1.00E-03	1.00E-05	0	25	208	0.84211
3.5	1.00E-03	1.00E-05	0	25	212	0.89474
3.5	1.00E-03	1.00E-05	0	25	216	0.5
3.5	1.00E-03	1.00E-05	0	25	220	0.34211
3.5	1.00E-03	1.00E-05	0	25	224	0.27368
3.5	1.00E-03	1.00E-05	0	25	228	0.02632
3.5	1.00E-03	1.00E-05	0	25	232	0.01053
