pH	T	BC	NaCl	Eu	t/min	A/A0
3.5	25	0	1.00E-03	1.00E-05	4	0.05263
3.5	25	0	1.00E-03	1.00E-05	8	0.05263
3.5	25	0	1.00E-03	1.00E-05	12	0.05263
3.5	25	0	1.00E-03	1.00E-05	16	0.05263
3.5	25	0	1.00E-03	1.00E-05	20	0.26316
3.5	25	0	1.00E-03	1.00E-05	24	0.33684
3.5	25	0	1.00E-03	1.00E-05	28	0.45789
3.5	25	0	1.00E-03	1.00E-05	32	0.51053
3.5	25	0	1.00E-03	1.00E-05	36	0.56842
3.5	25	0	1.00E-03	1.00E-05	40	0.61053
3.5	25	0	1.00E-03	1.00E-05	44	0.66316
3.5	25	0	1.00E-03	1.00E-05	48	0.70526
3.5	25	0	1.00E-03	1.00E-05	52	0.7
3.5	25	0	1.00E-03	1.00E-05	56	0.75789
3.5	25	0	1.00E-03	1.00E-05	60	0.68421
3.5	25	0	1.00E-03	1.00E-05	64	0.73684
3.5	25	0	1.00E-03	1.00E-05	68	0.71053
3.5	25	0	1.00E-03	1.00E-05	72	0.73158
3.5	25	0	1.00E-03	1.00E-05	76	0.69474
3.5	25	0	1.00E-03	1.00E-05	80	0.70526
3.5	25	0	1.00E-03	1.00E-05	84	0.7
3.5	25	0	1.00E-03	1.00E-05	88	0.72105
3.5	25	0	1.00E-03	1.00E-05	92	0.76316
3.5	25	0	1.00E-03	1.00E-05	96	0.76316
3.5	25	0	1.00E-03	1.00E-05	100	0.72632
3.5	25	0	1.00E-03	1.00E-05	104	0.73158
3.5	25	0	1.00E-03	1.00E-05	108	0.74737
3.5	25	0	1.00E-03	1.00E-05	112	0.75263
3.5	25	0	1.00E-03	1.00E-05	116	0.75789
3.5	25	0	1.00E-03	1.00E-05	120	0.74737
3.5	25	0	1.00E-03	1.00E-05	124	0.72105
3.5	25	0	1.00E-03	1.00E-05	128	0.78421
3.5	25	0	1.00E-03	1.00E-05	132	0.84737
3.5	25	0	1.00E-03	1.00E-05	136	0.84737
3.5	25	0	1.00E-03	1.00E-05	140	0.81579
3.5	25	0	1.00E-03	1.00E-05	144	0.80526
3.5	25	0	1.00E-03	1.00E-05	148	0.78947
3.5	25	0	1.00E-03	1.00E-05	152	0.83684
3.5	25	0	1.00E-03	1.00E-05	156	0.83158
3.5	25	0	1.00E-03	1.00E-05	160	0.82105
3.5	25	0	1.00E-03	1.00E-05	164	0.83684
3.5	25	0	1.00E-03	1.00E-05	168	0.78421
3.5	25	0	1.00E-03	1.00E-05	172	0.78421
3.5	25	0	1.00E-03	1.00E-05	176	0.81053
3.5	25	0	1.00E-03	1.00E-05	180	0.74737
3.5	25	0	1.00E-03	1.00E-05	184	0.87368
3.5	25	0	1.00E-03	1.00E-05	188	0.76316
3.5	25	0	1.00E-03	1.00E-05	192	0.8
3.5	25	0	1.00E-03	1.00E-05	196	0.78947
3.5	25	0	1.00E-03	1.00E-05	200	0.86842
3.5	25	0	1.00E-03	1.00E-05	204	0.82105
3.5	25	0	1.00E-03	1.00E-05	208	0.84211
3.5	25	0	1.00E-03	1.00E-05	212	0.89474
3.5	25	0	1.00E-03	1.00E-05	216	0.5
3.5	25	0	1.00E-03	1.00E-05	220	0.34211
3.5	25	0	1.00E-03	1.00E-05	224	0.27368
3.5	25	0	1.00E-03	1.00E-05	228	0.02632
3.5	25	0	1.00E-03	1.00E-05	232	0.01053
3.5	25	0	1.00E-03	1.00E-05	236	0.00526
3.5	25	0	1.00E-03	1.00E-05	240	0.01053
3.5	25	0	1.00E-03	1.00E-05	4	0.0122
3.5	25	0	1.00E-03	1.00E-05	8	0.03659
3.5	25	0	1.00E-03	1.00E-05	12	0.04878
3.5	25	0	1.00E-03	1.00E-05	16	0.06098
3.5	25	0	1.00E-03	1.00E-05	20	0.12195
3.5	25	0	1.00E-03	1.00E-05	24	0.23171
3.5	25	0	1.00E-03	1.00E-05	28	0.43902
3.5	25	0	1.00E-03	1.00E-05	32	0.58537
3.5	25	0	1.00E-03	1.00E-05	36	0.59756
3.5	25	0	1.00E-03	1.00E-05	40	0.63415
3.5	25	0	1.00E-03	1.00E-05	44	0.67073
3.5	25	0	1.00E-03	1.00E-05	48	0.71951
3.5	25	0	1.00E-03	1.00E-05	52	0.68293
3.5	25	0	1.00E-03	1.00E-05	56	0.7439
